Year;Date;Cod;Product;Sales;Qnt
2009;11/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;89.79;41
2009;12/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;48.18;22
2009;13/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;47.8;20
2009;14/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;40.63;17
2009;15/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;62.14;26
2009;16/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;78.87;33
2009;17/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;52.58;22
2009;18/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;50.19;21
2009;19/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;38.24;16
2009;20/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;11.95;5
2009;21/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;22/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;28.68;12
2009;23/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;66.92;28
2009;24/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;31.07;13
2009;25/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;21.51;9
2009;26/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;27/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;28/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;83.65;35
2009;29/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;78.87;33
2009;30/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;129.06;54
2009;02/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;160.13;67
2009;03/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;40.63;17
2009;04/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;97.99;41
2009;05/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;102.77;43
2009;06/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;188.81;79
2009;07/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;143.4;60
2009;08/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;112.33;47
2009;09/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;131.45;55
2009;10/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;26.29;11
2009;11/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;57.36;24
2009;12/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;71.7;30
2009;13/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;33.46;14
2009;14/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;40.63;17
2009;15/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;14.34;6
2009;16/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;132.82;58
2009;17/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;64.12;28
2009;18/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;34.35;15
2009;19/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;38.93;17
2009;20/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;41.22;18
2009;21/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;29.77;13
2009;22/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;54.96;24
2009;23/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;77.86;34
2009;24/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;45.8;20
2009;25/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;50.38;22
2009;26/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;77.86;34
2009;27/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;77.86;34
2009;28/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;98.47;43
2009;29/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;91.6;40
2009;30/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;64.12;28
2009;31/05/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;54.96;24
2009;01/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;125.95;55
2009;02/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;103.05;45
2009;03/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;114.5;50
2009;04/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;185.3;85
2009;05/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;60.43;27
2009;06/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;96.36;44
2009;07/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;91.98;42
2009;08/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;48.09;21
2009;09/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;84.73;37
2009;10/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;40.63;17
2009;11/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;62.14;26
2009;12/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;21.51;9
2009;13/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;26.29;11
2009;14/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;63.22;29
2009;15/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;80.66;37
2009;16/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;124.26;57
2009;17/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;139.52;64
2009;18/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;100.28;46
2009;19/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;109;50
2009;20/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;122.08;56
2009;21/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;69.76;32
2009;22/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;93.74;43
2009;23/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;124.26;57
2009;24/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;167.86;77
2009;25/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;81.26;34
2009;26/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;69.31;29
2009;27/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;102.77;43
2009;28/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;71.7;30
2009;29/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;150.57;63
2009;30/06/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;95.6;40
